NCT Number,Study Title,Study URL,Study Status,Conditions,Interventions,Sponsor,Collaborators,Sex,Age,Phases,Enrollment,Funder Type,Study Type,Study Design,Start Date,Primary Completion Date,Completion Date,Locations
NCT00710645,Lido Workset Study,https://beta.clinicaltrials.gov/study/NCT00710645,COMPLETED,Multiple Sclerosis,DEVICE: Lido Workset,"University of California, Davis",,ALL,"ADULT, OLDER_ADULT",,31,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,2003-04,2012-06,2012-07,"University of California, Davis, Sacramento, California, 95817, United States"
NCT04856345,Running Title: Walking to Music and in Silence on a Treadmill,https://beta.clinicaltrials.gov/study/NCT04856345,UNKNOWN,Multiple Sclerosis,OTHER: Walking with music with synchronisation|OTHER: Walking with music without synchronisation|OTHER: walking without music,Hasselt University,Revalidatie & MS Centrum Overpelt,ALL,"ADULT, OLDER_ADULT",NA,30,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2021-01-22,2022-12-31,2022-12-31,"Noorderhart Revalidatie & MS centrum, Overpelt, 3900, Belgium"
NCT05427045,A Pilot Project for Multifidus Muscle Evaluation in Patients With Multiple Sclerosis,https://beta.clinicaltrials.gov/study/NCT05427045,RECRUITING,Multiple Sclerosis|Back Pain,OTHER: home - exercise program,University of Arkansas,,ALL,ADULT,EARLY_PHASE1,10,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2022-05-01,2023-05,2024-05,"University of Arkansas for Medical Sciences, Little Rock, Arkansas, 72205, United States"
NCT04929145,The Gut Microbiome in Adult Multiple Sclerosis,https://beta.clinicaltrials.gov/study/NCT04929145,COMPLETED,Multiple Sclerosis,,National MS Center Melsbroek,,ALL,"ADULT, OLDER_ADULT",,152,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,2013-10-02,2019-09-16,2020-04,"Universitair Ziekenhuis Brussel, Jette, Brussel-Hoofdstedelijk-Gewest, 1090, Belgium|Nationaal Multiple Sclerose Centrum Melsbroek, Melsbroek, Vlaams-Brabant, 1820, Belgium"
NCT00270816,Interferon ß-1b Treatment by Cyclical Administration,https://beta.clinicaltrials.gov/study/NCT00270816,COMPLETED,Multiple Sclerosis,DRUG: Interferon-ß-1b|DRUG: Interferon ß-1b,S. Andrea Hospital,Italian Multiple Sclerosis Foundation,ALL,ADULT,PHASE2|PHASE3,60,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2005-11,2010-08,2011-01,"Azienda Ospedaliera S. Andrea, II Facoltà di Medicina e Chirurgia, Università di Roma ""La Sapienza"", Rome, 00139, Italy"
NCT03050268,Familial Investigations of Childhood Cancer Predisposition,https://beta.clinicaltrials.gov/study/NCT03050268,RECRUITING,Acute Leukemia|Adenomatous Polyposis|Adrenocortical Carcinoma|AML|BAP1 Tumor Predisposition Syndrome|Carney Complex|Choroid Plexus Carcinoma|Constitutional Mismatch Repair Deficiency Syndrome|Diamond-Blackfan Anemia|DICER1 Syndrome|Dyskeratosis Congenita|Emberger Syndrome|Familial Acute Myeloid Leukemia|Familial Adenomatous Polyposis|Fanconi Anemia|Familial Cancer|Familial Wilms Tumor|Familial Neuroblastoma|GIST|Hereditary Breast and Ovarian Cancer|Hereditary Paraganglioma-Pheochromocytoma Syndrome|Hodgkin Lymphoma|Juvenile Polyposis|Li-Fraumeni Syndrome|Lynch Syndrome|MDS|Melanoma Syndrome|Multiple Endocrine Neoplasia Type 1|Multiple Endocrine Neoplasia Type 2|Neuroblastoma|Neurofibromatosis Type 1|Neurofibromatosis Type II|Nevoid Basal Cell Carcinoma Syndrome|Non Hodgkin Lymphoma|Noonan Syndrome and Other Rasopathy|Overgrowth Syndromes|Pancreatic Cancer|Peutz-Jeghers Syndrome|Pheochromocytoma/Paraganglioma|PTEN Hamartoma Tumor Syndrome|Retinoblastoma|Rhabdoid Tumor Predisposition Syndrome|Rhabdomyosarcoma|Rothmund-Thomson Syndrome|Tuberous Sclerosis|Von Hippel-Lindau Disease,,St. Jude Children's Research Hospital,,ALL,"CHILD, ADULT, OLDER_ADULT",,3000,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,2017-04-06,2037-03-31,2037-03-31,"St. Jude Children's Research Hospital, Memphis, Tennessee, 38105, United States"
NCT04806568,MS-NEUROPLAST: Neuroplasticity of Cortical Areas Induced by Cognitive Training in Patients With Multiple Sclerosis,https://beta.clinicaltrials.gov/study/NCT04806568,RECRUITING,Multiple Sclerosis|Cognitive Decline,OTHER: Cognitive Training,Aristotle University Of Thessaloniki,King Fahad Medical City,ALL,ADULT,NA,150,OTHER,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: OTHER,2020-12-01,2023-10-31,2024-06-07,"Laboratory of Medical Physics and Digital Innovation, AUTH, Thessaloníki, Central Macedonia, 54124, Greece"
NCT05715268,Wearables for the Bladder: an In-home Treatment Feasibility Pilot Study,https://beta.clinicaltrials.gov/study/NCT05715268,RECRUITING,"Multiple Sclerosis|Urinary Bladder, Overactive",DEVICE: WeB|OTHER: Standard pelvic floor physical therapy,"University of California, San Francisco",National Multiple Sclerosis Society,FEMALE,"ADULT, OLDER_ADULT",NA,20,OTHER,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2023-03-15,2023-10,2024-01,"University of California San Francisco, Weill Institute for Neurosciences, San Francisco, California, 94158, United States"
NCT01838668,An Efficacy and Safety Study of BG00012 (Dimethyl Fumarate) in Asian Subjects With Relapsing Remitting Multiple Sclerosis (RRMS),https://beta.clinicaltrials.gov/study/NCT01838668,COMPLETED,Relapsing-Remitting Multiple Sclerosis|Multiple Sclerosis,DRUG: Placebo|DRUG: dimethyl fumarate,Biogen,,ALL,ADULT,PHASE3,225,INDUSTRY,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, INVESTIGATOR)|Primary Purpose: TREATMENT",2013-03-28,2015-06-16,2018-09-04,"Fakultni nemocnice u sv. Anny v Brne, Brno, 656 91, Czechia|Neurospol, s.r.o., Havirov, 736 00, Czechia|Fakultni nemocnice Hradec Kralove, Hradec Kralove, 500 05, Czechia|Privatni ordinace - neurologie, Hradec Kralove, 50003, Czechia|Nemocnice Jihlava, Jihlava, 58633, Czechia|Fakultni nemocnice Olomouc, Olomouc, 775 20, Czechia|Fakultni poliklinika VFN, Praha 2, 128 08, Czechia|Fakultni nemocnice v Motole, Praha 5, 150 06, Czechia|Krajska zdravotni, a.s. - Nemocnice Teplice, o.z., Teplice, 41529, Czechia|NHO Asahikawa Medical Center, Asahikawa-shi, 070-8644, Japan|Juntendo University Hospital, Bunkyo-ku, 113-8431, Japan|Chiba University Hospital, Chiba-shi, 260-8677, Japan|Kyushu University Hospital, Fukuoka-shi, 812-8582, Japan|Kanazawa Medical University Hospital, Kahoku-gun, 920-0293, Japan|Saitama Medical Center, Kawagoe-shi, 350-8550, Japan|Kobe University Hospital, Kobe-shi, 650-0017, Japan|National Center Hospital, NCNP, Kodaira-shi, 187-8551, Japan|Kyoto University Hospital, Kyoto-shi, 606-8507, Japan|NHO Utano Hospital, Kyoto-shi, 616-8255, Japan|Iwate Medical University Hospital, Morioka-shi, 020-8505, Japan|Niigata University Medical & Dental Hospital, Niigata-shi, 951-8520, Japan|Irino Clinic, Inc., Osaka-shi, 556-0016, Japan|Kindai University Hospital, Osakasayama-shi, 589-8511, Japan|Tokyotohokeniryokosya Ebara Hospital, Ota-ku, 145-0065, Japan|NHO Hokkaido Medical Center, Sapporo-shi, 063-0005, Japan|CEReS Sapporo Neurology Clinic, Sapporo-shi, 065-0021, Japan|Tohoku University Hospital, Sendai-shi, 980-8574, Japan|Keio University Hospital, Shinjuku-ku, 160-8582, Japan|Department of Neurosurgery, Tokyo Women's Medical University, Shinjuku-ku, 162-8666, Japan|Osaka University Hospital, Suita-shi, 565-0871, Japan|National Defense Medical College Hospital, Tokorozawa-shi, 359-8513, Japan|Ehime University Hospital, Toon-shi, 791-0295, Japan|Tsukuba University Hospital, Tsukuba-shi, 305-8576, Japan|Yamaguchi University Hospital, Ube-shi, 755-8505, Japan|Tokyo Womens Medical University Yachiyo Medical Center, Yachiyo-shi, 276-8524, Japan|Yokohama City University Hospital, Yokohama-shi, 236-0004, Japan|Yeungnam University Hospital, Daegu, 42415, Korea, Republic of|National Cancer Center, Gyeonggi-do, 10408, Korea, Republic of|Korea University Anam Hospital, Seoul, 02841, Korea, Republic of|Seoul National University Hospital, Seoul, 03080, Korea, Republic of|Asan Medical Center, Seoul, 05505, Korea, Republic of|Samsung Medical Center, Seoul, 06351, Korea, Republic of|Copernicus Podmiot Leczniczy Sp. z o.o., Gdansk, 80-803, Poland|M.A. - LEK A.M.Maciejowscy SC., Katowice, 40-571, Poland|Nzoz Novo-Med, Katowice, 40-650, Poland|Neuro-Care Gabriela Klodowska, Katowice, 40-749, Poland|MCD Medical, Krakow, 31-637, Poland|Centrum Neurologii K. Selmaj, Lodz, 90-324, Poland|Neurologiczny NZOZ Centrum Leczenia SM, Plewiska, 62-064, Poland|NZOZ ""NEURO-KARD"", ""Ilkowski i Partnerzy"" Sp. Partn. Lek., Poznan, 61-853, Poland|Miedzyleski Szpital Specjalistyczny, Warszawa, 04-749, Poland|National Cheng Kung University Hospital, Tainan, 704, Taiwan|National Taiwan University Hospital, Taipei, 100, Taiwan|Taipei Veterans General Hospital, Taipei, 11217, Taiwan"
NCT04121468,A Phase I Double Blind Study of Metformin Acting on Endogenous Neural Progenitor Cells in Children With Multiple Sclerosis,https://beta.clinicaltrials.gov/study/NCT04121468,RECRUITING,Multiple Sclerosis (MS),DRUG: Metformin|OTHER: Placebo,The Hospital for Sick Children,Queen's University|Ontario Institute for Regenerative Medicine|Unity Health Toronto|Stem Cell Network|Multiple Sclerosis Society of Canada,ALL,"CHILD, ADULT",PHASE1|PHASE2,30,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2020-02-24,2023-12,2023-12,"St. Michael's Hospital, Toronto, Ontario, M5B 1W8, Canada|The Hospital for Sick Children, Toronto, Ontario, M5G 1X8, Canada"
NCT01097668,ATX-MS-1467 in Patients With Relapsing Forms of Multiple Sclerosis,https://beta.clinicaltrials.gov/study/NCT01097668,COMPLETED,Relapsing Remitting Multiple Sclerosis,BIOLOGICAL: ATX-MS-1467,Apitope Technology (Bristol) Ltd.,"Aptiv Solutions|ClinStar, LLC",ALL,ADULT,PHASE1,43,INDUSTRY,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2010-03,2013-07,2013-07,"Municipal Healthcare Institution ""City Clinical Hospital #3"", Department of neurology, Chelyabinsk, 454136, Russian Federation|State Medical Institution ""Republican Clinical Hospital of rehabilitation treatment of Ministry of Healthcare of Tatarstan Republic"", Republican clinicodiagnostic center of demyelinating diseases of Ministry of Healthcare of Tatarstan Republic, Kazan, 420021, Russian Federation|State Educational Institution of Higher Professional Education ""1st Moscow State Medical University n.a. I.M. Sechenov of Ministry of Healthcare and Social Development of the Russian Federation, Department of new drugs research, Moscow, 119991, Russian Federation|State Healthcare Institution 'Rostov Regional Clinical Hospital' Center of Neurology, Rostov-on-Don, 344015, Russian Federation|LLC ""International Clinic MEDEM"", Department of functional diagnostics, Saint Petersburg, 191025, Russian Federation|State Educational Institution of Higher Professional Education ""St. Petersburg State Medical University n.a. I.V. Pavlov of Roszdrav"", Department of neurology with clinic, Saint Petersburg, 197022, Russian Federation|State Healthcare Institution ""Samara Regional Clinical Hospital n.a. M.I. Kalinin"", Department of neurosurgery, Samara, 443095, Russian Federation|State Educational Institution of Higher Professional Education Saratov State Medical University, Saratov, 410012, Russian Federation|State Educational Institution of Higher Professional Education ""Smolensk State Medical Academy of Roszdrav"", Department of neurology and neurosurgery based at State Healthcare Institution ""Smolensk Regional Clinical Hospital"", Smolensk, Russian Federation|St. Petersburg State Healthcare Institution ""City multifield hospital #2"", Department of neurology #2, St Petersburg, 194354, Russian Federation|Institution of the Russian Academy of Science ""Institute of Human Brain of RAS"", Neuroimmunology Laboratory, St Petersburg, 197376, Russian Federation|North Staffordshire Royal Infirmary, Stoke on Trent, Staffordshire, ST4 7LN, United Kingdom|National Hospital for Neurology & Neurosurgery, London, WC1N 3BG, United Kingdom|Queen's Medical Centre, Nottingham, NG7 2UH, United Kingdom|Peninsula Medical School, Plymouth, PL6 8BX, United Kingdom|Royal Hallamshire Hospital, Sheffield, S10 2 JF, United Kingdom"
NCT00190268,"Efficacy of 3,4-DAP in Fatigue Associated With Multiple Sclerosis",https://beta.clinicaltrials.gov/study/NCT00190268,COMPLETED,Multiple Sclerosis,"DRUG: 3,4-diaminopyridine",Assistance Publique - Hôpitaux de Paris,,ALL,ADULT,PHASE3,126,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, INVESTIGATOR)|Primary Purpose: TREATMENT",2005-02,2008-06,2008-06,"Henri Mondor Hospital, Creteil, 94010, France|Pitié Salpetriere Hospital, Paris, 75013, France|Tenon Hospital, Paris, 75020, France|Pontchaillou Hospital, Rennes, 35000, France"
NCT01712945,Keratinocyte Growth Factor to Prevent Autoimmunity After Alemtuzumab Treatment of Multiple Sclerosis,https://beta.clinicaltrials.gov/study/NCT01712945,TERMINATED,Multiple Sclerosis,DRUG: Palifermin|DRUG: Alemtuzumab,Cambridge University Hospitals NHS Foundation Trust,,ALL,"CHILD, ADULT",PHASE1|PHASE2,40,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: TRIPLE (PARTICIPANT, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: PREVENTION",2012-06,2017-08,2017-10,"Addenbrooke's Hospital, Cambridge, Cambridgeshire, CB2 2QQ, United Kingdom"
NCT03980145,G-EO Gait Rehabilitation Training in Progressive Multiple Sclerosis,https://beta.clinicaltrials.gov/study/NCT03980145,COMPLETED,Progressive Multiple Sclerosis,"DEVICE: G-EO System (Reha Technology AG: Olten, Switzerland)|OTHER: Conventional Physical Therapy",Indiana University,University of Alabama at Birmingham|University of Ottawa,ALL,ADULT,NA,15,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (INVESTIGATOR)|Primary Purpose: TREATMENT,2017-05-02,2020-03-01,2020-03-01,"Neurorehabilitation and Robotics at IU Health Neuroscience Center, Indianapolis, Indiana, 46202, United States"
NCT03847545,Muscle Strain in Multiple Sclerosis Patients Measured by Ultrasound Speckle Tracking Technique,https://beta.clinicaltrials.gov/study/NCT03847545,COMPLETED,Multiple Sclerosis,DRUG: Fampridine,University of Southern Denmark,"Odense University Hospital|Sygehus Lillebaelt|Region of Southern Denmark|The Augustinus Foundation, Denmark.|Lounkær Fonden|Fonden for scleroseramte på Fyn|The Danish Multiple Sclerosis Society|TH MAIGAARDS EFTF. FRU LILY BENTHINE LUNDS FOND AF 1. JUNI 1978|Fonden til Lægevidenskabens Fremme|Overlægeråds forskningsfond",ALL,"ADULT, OLDER_ADULT",NA,48,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2018-12-12,2021-10-15,2021-10-15,"University of Southern Denmark - Odense Univarsity Hospital, Odense C, 5000, Denmark"
NCT00094068,The Effect of Sildenafil Citrate (Viagra® (Registered Trademark)) on Brain Blood Flow in Multiple Sclerosis Patients,https://beta.clinicaltrials.gov/study/NCT00094068,COMPLETED,Multiple Sclerosis,,National Institutes of Health Clinical Center (CC),,ALL,"CHILD, ADULT, OLDER_ADULT",,76,NIH,OBSERVATIONAL,Observational Model: |Time Perspective: p,2004-10,,2006-05,"National Institutes of Health Clinical Center (CC), Bethesda, Maryland, 20892, United States"
NCT03679468,Improving Cognition in People With Progressive Multiple Sclerosis Using Aerobic Exercise and Cognitive Rehabilitation,https://beta.clinicaltrials.gov/study/NCT03679468,ACTIVE_NOT_RECRUITING,"Multiple Sclerosis, Primary Progressive|Cognitive Impairment",OTHER: Cognitive Rehabilitation|OTHER: Sham Exercise|OTHER: Sham Cognitive Rehabilitation|OTHER: Aerobic Exercise,Sunnybrook Health Sciences Centre,"University of Florence|Fondazione Italiana Sclerosi Multipla|University College, London|Kessler Foundation|University of Alabama at Birmingham|University of Southern Denmark|Hasselt University|University of Plymouth|Universita degli Studi di Genova|Unity Health Toronto|Ospedale San Raffaele",ALL,"ADULT, OLDER_ADULT",NA,309,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: SEQUENTIAL|Masking: DOUBLE (PARTICIPANT, INVESTIGATOR)|Primary Purpose: OTHER",2019-03-18,2022-06-30,2022-12-30,"Sunnybrook Health Science Center, Toronto, Ontario, M4N3M5, Canada"
NCT04075968,The Effect of Cognitive Group Exercise Combined With Physical Exercise in MS,https://beta.clinicaltrials.gov/study/NCT04075968,COMPLETED,Multiple Sclerosis,OTHER: Cognitive exercise|OTHER: Home exercise,Istanbul Physical Medicine Rehabilitation Training and Research Hospital,,ALL,"ADULT, OLDER_ADULT",,20,OTHER_GOV,OBSERVATIONAL,Observational Model: |Time Perspective: p,2018-12-01,2019-11-15,2019-12-01,"Health Sciences University Istanbul Physical Therapy and Rehabilitation Training and Research Hospital, Istanbul, 34500, Turkey"
NCT02284568,"A Phase 2 Clinical Study in Subjects With Primary Progressive Multiple Sclerosis to Assess the Efficacy, Safety and Tolerability of Two Oral Doses of Laquinimod Either of 0.6 mg/Day or 1.5mg/Day (Experimental Drug) as Compared to Placebo",https://beta.clinicaltrials.gov/study/NCT02284568,COMPLETED,Primary Progressive Multiple Sclerosis,DRUG: Placebo|DRUG: Laquinimod|DRUG: Placebo,"Teva Branded Pharmaceutical Products R&D, Inc.",,ALL,ADULT,PHASE2,374,INDUSTRY,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: TRIPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR)|Primary Purpose: TREATMENT",2015-01-12,2017-05-04,2017-10-01,"Teva Investigational Site 12966, Phoenix, Arizona, 85018, United States|Teva Investigational Site 12967, Newport Beach, California, 92663, United States|Teva Investigational Site 12962, San Francisco, California, 94158, United States|Teva Investigational Site 12964, Aurora, Colorado, 80045, United States|Teva Investigational Site 12973, Northbrook, Illinois, 60062, United States|Teva Investigational Site 12975, Kansas City, Kansas, 66160-7314, United States|Teva Investigational Site 12969, Lenexa, Kansas, 66214, United States|Teva Investigational Site 12977, Golden Valley, Minnesota, 55422, United States|Teva Investigational Site 13010, Golden Valley, Minnesota, 55422, United States|Teva Investigational Site 12965, Chesterfield, Missouri, 63017, United States|Teva Investigational Site 12968, Saint Louis, Missouri, 63110, United States|Teva Investigational Site 12963, New York, New York, 10016, United States|Teva Investigational Site 12971, Charlotte, North Carolina, 28207, United States|Teva Investigational Site 12976, Columbus, Ohio, 43221, United States|Teva Investigational Site 12970, Uniontown, Ohio, 44685, United States|Teva Investigational Site 11089, Calgary, AL, T2N 4Z1, Canada|Teva Investigational Site 11084, Halifax, Nova Scotia, B3H 4K4, Canada|Teva Investigational Site 11081, Ottawa, Ontario, K1H 8L6, Canada|Teva Investigational Site 11087, Toronto, Ontario, M5B-1W8, Canada|Teva Investigational Site 11082, Montreal, Quebec, H3A 2B4, Canada|Teva Investigational Site 11088, Quebec, G1J 1Z4, Canada|Teva Investigational Site 32505, Bad Mergentheim, 97980, Germany|Teva Investigational Site 32512, Bamberg, 96049, Germany|Teva Investigational Site 32510, Berlin, 10117, Germany|Teva Investigational Site 32522, Bochum, 44791, Germany|Teva Investigational Site 32509, Dresden, 01307, Germany|Teva Investigational Site 32517, Dusseldorf, 40225, Germany|Teva Investigational Site 32543, Goettigen, 37075, Germany|Teva Investigational Site 32514, Hamburg, 20099, Germany|Teva Investigational Site 32507, Hannover, 30625, Germany|Teva Investigational Site 32513, Munchen, 81675, Germany|Teva Investigational Site 32504, Munchen, D-81377, Germany|Teva Investigational Site 32516, Rostock, 18057, Germany|Teva Investigational Site 32523, Trier, 54292, Germany|Teva Investigational Site 32503, Ulm, 89081, Germany|Teva Investigational Site 32511, Wurzburg, 97080, Germany|Teva Investigational Site 30106, Cefalu, 90015, Italy|Teva Investigational Site 30110, Firenze, 50134, Italy|Teva Investigational Site 30105, Gallarate, 21013, Italy|Teva Investigational Site 30108, Genova, 16132, Italy|Teva Investigational Site 30102, Milano, 20127, Italy|Teva Investigational Site 30107, Orbassano, 10043, Italy|Teva Investigational Site 30103, Padova, 35128, Italy|Teva Investigational Site 30101, Rome, 00133, Italy|Teva Investigational Site 30104, Rome, ?00152, Italy|Teva Investigational Site 38068, Amsterdam, 1081 HV, Netherlands|Teva Investigational Site 38067, Nijmegen, 6532 SZ, Netherlands|Teva Investigational Site 38069, Sittard, 6162 BG, Netherlands|Teva Investigational Site 53262, Bialystok, 15-402, Poland|Teva Investigational Site 53250, Bydgoszcz, 85-795, Poland|Teva Investigational Site 53253, Gdansk, 80-803, Poland|Teva Investigational Site 53257, Katowice, 40-635, Poland|Teva Investigational Site 53258, Katowice, 40-684, Poland|Teva Investigational Site 53256, Katowice, 40-749, Poland|Teva Investigational Site 53255, Kielce, 25-726, Poland|Teva Investigational Site 53260, Lublin, 20-954, Poland|Teva Investigational Site 53261, Olsztyn, 10-560, Poland|Teva Investigational Site 53252, Warsaw, 02-957, Poland|Teva Investigational Site 50285, Kaluga, 248007, Russian Federation|Teva Investigational Site 50288, Kazan, 420021, Russian Federation|Teva Investigational Site 50290, Kazan, 420103, Russian Federation|Teva Investigational Site 50294, Kirov, 610006, Russian Federation|Teva Investigational Site 50292, Krasnoyarsk, 660022, Russian Federation|Teva Investigational Site 50287, Moscow, 127018, Russian Federation|Teva Investigational Site 50291, Nizhny Novgorod, 603126, Russian Federation|Teva Investigational Site 50286, Novosibirsk, 630007, Russian Federation|Teva Investigational Site 50295, Perm, 614990, Russian Federation|Teva Investigational Site 50293, Saint Petersburg, 197022, Russian Federation|Teva Investigational Site 50289, St. Petersburg, 194044, Russian Federation|Teva Investigational Site 31108, Barcelona, 08036, Spain|Teva Investigational Site 31106, Barcelona, 8035, Spain|Teva Investigational Site 31105, El Palmar, 30120, Spain|Teva Investigational Site 31111, Lleida, 25198, Spain|Teva Investigational Site 31112, Madrid, 28040, Spain|Teva Investigational Site 31192, Madrid, 28223, Spain|Teva Investigational Site 31101, Malaga, 29010, Spain|Teva Investigational Site 31104, San Sebastian, 20014, Spain|Teva Investigational Site 31102, Sevilla, 41009, Spain|Teva Investigational Site 31100, Valencia, 46026, Spain|Teva Investigational Site 58158, Dnipropetrovsk, 49005, Ukraine|Teva Investigational Site 58159, Ivano-Frankivsk, 76014, Ukraine|Teva Investigational Site 58157, Kharkiv, 61068, Ukraine|Teva Investigational Site 58160, Kyiv, ?03110, Ukraine|Teva Investigational Site 58152, Lutsk, 43005, Ukraine|Teva Investigational Site 58154, Lviv, 79010, Ukraine|Teva Investigational Site 58153, Lviv, 79044, Ukraine|Teva Investigational Site 58156, Zaporizhzhia, 69068, Ukraine|Teva Investigational Site 58150, Zaporizhzhya, 69035, Ukraine|Teva Investigational Site 58151, Zaporizhzhya, 69600, Ukraine|Teva Investigational Site 34190, Bristol, BS10 5NB, United Kingdom|Teva Investigational Site 34188, Edinburgh, EH4 2XU, United Kingdom|Teva Investigational Site 34189, Exeter, EX2 5DW, United Kingdom|Teva Investigational Site 34182, Liverpool, L9 7LJ, United Kingdom|Teva Investigational Site 34181, London, E1 2AT, United Kingdom|Teva Investigational Site 34183, Nottingham, NG7 2UH, United Kingdom|Teva Investigational Site 34184, Oxford, OX3 9DU, United Kingdom|Teva Investigational Site 34186, Plymouth, PL6 8DH, United Kingdom|Teva Investigational Site 34185, Stoke-on-Trent, ST4 6GQ, United Kingdom|Teva Investigational Site 34187, Swansea, SA6 6NL, United Kingdom"
NCT04547400,Relationship of Position Sense With Gait and Balance in Patients With Multiple Sclerosis,https://beta.clinicaltrials.gov/study/NCT04547400,COMPLETED,Multiple Sclerosis,OTHER: assessment,Gazi University,,ALL,"ADULT, OLDER_ADULT",,40,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,2020-10-05,2022-05-13,2022-05-13,"Gazi University, Ankara, Turkey"
NCT02141022,Computerized Exercise Training for Cognitive Remediation in Adults With Multiple Sclerosis Treated With Gilenya,https://beta.clinicaltrials.gov/study/NCT02141022,COMPLETED,Multiple Sclerosis|Cognitive Deficits|Gilenya Modifying Therapy for MS,OTHER: plasticity-based computerized cognitive remediation program|DRUG: Gileyna,Stony Brook University,Novartis,ALL,"ADULT, OLDER_ADULT",NA,20,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2013-08,2014-09,2015-09,"Stony Brook University, Stony Brook, New York, 11794, United States"
NCT01444300,Dalfampridine for Imbalance in Multiple Sclerosis,https://beta.clinicaltrials.gov/study/NCT01444300,COMPLETED,Multiple Sclerosis|Fatigue,DRUG: Dalfampridine|DRUG: Placebo,Oregon Health and Science University,Acorda Therapeutics,ALL,ADULT,PHASE2,24,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2011-09,2013-09,2013-09,"Oregon Health and Science University, Portland, Oregon, 97239, United States"
NCT04823000,Effects of Repeated Mesenchymal Stem Cells (MSC) in Patients With Progressive Multiple Sclerosis,https://beta.clinicaltrials.gov/study/NCT04823000,COMPLETED,Multiple Sclerosis,BIOLOGICAL: Mesenchymal Stem Cells (MSC),Hadassah Medical Organization,,ALL,"ADULT, OLDER_ADULT",PHASE1|PHASE2,24,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2013-01-01,2016-12-01,2020-04-01,
